ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,CensusTractNo,County,State,ID Geography,Geoid10
2017,2017,0,Total,103060,26619,"Census Tract 816, Cook County, IL",816,Cook County,IL,14000US17031081600,17031081600
2017,2017,0,Total,55600,11751,"Census Tract 8402, Cook County, IL",8402,Cook County,IL,14000US17031840200,17031840200
2017,2017,0,Total,125625,22751,"Census Tract 7203, Cook County, IL",7203,Cook County,IL,14000US17031720300,17031720300
2017,2017,0,Total,95545,8863,"Census Tract 817, Cook County, IL",817,Cook County,IL,14000US17031081700,17031081700
2017,2017,0,Total,34486,4069,"Census Tract 6304, Cook County, IL",6304,Cook County,IL,14000US17031630400,17031630400
2017,2017,0,Total,116705,13418,"Census Tract 818, Cook County, IL",818,Cook County,IL,14000US17031081800,17031081800
2017,2017,0,Total,50051,3570,"Census Tract 6303, Cook County, IL",6303,Cook County,IL,14000US17031630300,17031630300
2017,2017,0,Total,139063,26992,"Census Tract 819, Cook County, IL",819,Cook County,IL,14000US17031081900,17031081900
2017,2017,0,Total,94375,14698,"Census Tract 901, Cook County, IL",901,Cook County,IL,14000US17031090100,17031090100
2017,2017,0,Total,38886,3514,"Census Tract 8401, Cook County, IL",8401,Cook County,IL,14000US17031840100,17031840100
2017,2017,0,Total,35625,7271,"Census Tract 6302, Cook County, IL",6302,Cook County,IL,14000US17031630200,17031630200
2017,2017,0,Total,100808,13594,"Census Tract 902, Cook County, IL",902,Cook County,IL,14000US17031090200,17031090200
2017,2017,0,Total,89205,14488,"Census Tract 903, Cook County, IL",903,Cook County,IL,14000US17031090300,17031090300
2017,2017,0,Total,31016,6894,"Census Tract 6301, Cook County, IL",6301,Cook County,IL,14000US17031630100,17031630100
2017,2017,0,Total,66265,11318,"Census Tract 1001, Cook County, IL",1001,Cook County,IL,14000US17031100100,17031100100
2017,2017,0,Total,70549,17440,"Census Tract 1002, Cook County, IL",1002,Cook County,IL,14000US17031100200,17031100200
2017,2017,0,Total,71989,14775,"Census Tract 8400, Cook County, IL",8400,Cook County,IL,14000US17031840000,17031840000
2017,2017,0,Total,95481,8466,"Census Tract 7204, Cook County, IL",7204,Cook County,IL,14000US17031720400,17031720400
2017,2017,0,Total,73558,11651,"Census Tract 1003, Cook County, IL",1003,Cook County,IL,14000US17031100300,17031100300
2017,2017,0,Total,52000,14982,"Census Tract 6204, Cook County, IL",6204,Cook County,IL,14000US17031620400,17031620400
2017,2017,0,Total,83594,15172,"Census Tract 1004, Cook County, IL",1004,Cook County,IL,14000US17031100400,17031100400
